experiment,acid_type,true_buffer_count,steps_taken,success,final_pH,target_pH,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
177,triprotic,3,6,True,7.05,7.12,0.07000000000000028,0.7330514104963428,0.24614590234599368,0.0
176,triprotic,3,6,True,10.65,10.68,0.02999999999999936,0.5332654477364861,0.20758866607226292,0.0
178,diprotic,2,5,True,5.7,5.63,0.07000000000000028,0.6823918268924078,0.17608990953535894,0.2809868659190522
182,monoprotic,1,2,True,3.87,3.8,0.07000000000000028,0.027611978054512765,0.2036152051457747,0.45121172040294155
181,diprotic,2,5,True,7.26,7.25,0.009999999999999787,0.1359315033311368,0.21816202470302973,0.18138876895892297
180,triprotic,3,3,True,2.3,2.34,0.040000000000000036,0.9004319432281775,0.21060671358425612,0.0
185,diprotic,2,5,True,7.1,7.17,0.07000000000000028,0.7025956174078596,0.16379002988471694,0.494545172533224
186,monoprotic,1,2,True,2.99,2.92,0.07000000000000028,0.742805622938639,0.19990763360937128,0.47536665823957946
184,triprotic,3,7,True,10.95,10.93,0.019999999999999574,1.6811127516248092,0.19437455810579532,0.0
179,triprotic,3,11,True,10.21,10.31,0.09999999999999964,2.4604026868232576,0.2141520344213329,0.0
187,monoprotic,1,4,True,4.93,4.87,0.05999999999999961,0.2641700292754363,0.1949599422749646,0.8702305543133548
183,triprotic,3,12,True,10.12,10.11,0.009999999999999787,0.7867373369953303,0.2106692358038479,0.0
191,monoprotic,1,16,True,5.21,5.23,0.020000000000000462,0.02641116956931322,0.19347517980275006,0.5226431770759693
190,diprotic,2,28,True,7.72,7.77,0.04999999999999982,0.6141021777566515,0.1895206853963346,0.31351724729184394
192,diprotic,2,4,True,4.24,4.32,0.08000000000000007,1.0823719404368144,0.19824546731214646,0.48621633166080963
189,triprotic,3,13,True,9.8,9.81,0.009999999999999787,1.3655963914098121,0.20346734818825454,0.0
194,diprotic,2,8,True,5.8,5.79,0.009999999999999787,1.0134356970813778,0.07750860170498763,0.5375867456290339
188,diprotic,2,21,True,3.74,3.7,0.040000000000000036,0.5047638791247533,0.2276394466863899,0.4473067570975335
195,diprotic,2,10,True,6.42,6.42,0.0,0.4542197848677527,0.18982078488803703,0.7813357927125415
193,monoprotic,1,5,True,2.45,2.41,0.040000000000000036,0.17953307424979226,0.19613405198713652,0.8186715895228446
197,triprotic,3,4,True,2.68,2.66,0.020000000000000018,0.3553341943249538,0.1992313578667254,0.0
198,triprotic,3,10,True,5.29,5.37,0.08000000000000007,1.383078812269246,0.19087194881074612,0.0
201,diprotic,2,6,True,3.83,3.92,0.08999999999999986,0.4182613315008301,0.2023173378592149,0.16798816668392066
196,triprotic,3,13,True,8.73,8.69,0.040000000000000924,0.531404241386017,0.20784606210484202,0.0
200,monoprotic,1,20,True,9.17,9.25,0.08000000000000007,0.05505796031905419,0.21187626719345543,0.8345031259990809
203,triprotic,3,6,True,6.41,6.48,0.07000000000000028,2.0425404010094486,0.21218460732600083,0.0
202,triprotic,3,7,True,10.78,10.76,0.019999999999999574,0.9694668590310073,0.164951869029527,0.0
205,triprotic,3,5,True,5.33,5.29,0.040000000000000036,0.36507907400677714,0.15904023354187657,0.0
204,diprotic,2,14,True,8.76,8.68,0.08000000000000007,0.5310979111725327,0.1310352581062653,0.40993110721164816
208,triprotic,3,5,True,6.43,6.41,0.019999999999999574,1.675948403055348,0.20993406466215944,0.0
206,monoprotic,1,12,True,10.62,10.61,0.009999999999999787,0.34804635994629773,0.21133055569525663,0.7531612146125365
199,monoprotic,1,50,False,8.43,8.25,0.17999999999999972,1.3998403001982478,0.09248346103754577,0.7788524469852212
207,monoprotic,1,5,True,2.51,2.48,0.029999999999999805,0.5339576232237286,0.1966593329719574,0.397680179263776
209,triprotic,3,6,True,3.01,2.94,0.06999999999999984,1.6134350093136363,0.19923723598917464,0.0
211,monoprotic,1,13,True,10.2,10.21,0.010000000000001563,0.9281829522990344,0.21979153278979657,0.7093484672145549
212,monoprotic,1,13,True,10.09,10.12,0.02999999999999936,0.43064044953084046,0.2125711924757745,0.8568050700725395
213,diprotic,2,14,True,9.87,9.85,0.019999999999999574,0.7145094415005457,0.1233679195775735,0.3487466434053117
215,monoprotic,1,5,True,4.77,4.7,0.0699999999999994,0.144942670498601,0.21343707783868116,0.929368114983581
216,monoprotic,1,2,True,3.83,3.92,0.08999999999999986,0.3163425917798932,0.20226622562176957,0.32331190978470997
214,monoprotic,1,18,True,9.54,9.63,0.09000000000000163,1.2703262248427745,0.2161070164093468,0.6562811720184598
218,triprotic,3,7,True,5.27,5.35,0.08000000000000007,1.4753448813477934,0.19581008077503692,0.0
217,diprotic,2,9,True,4.56,4.64,0.08000000000000007,1.8039824041090156,0.08455640112705771,0.5717685510217032
220,triprotic,3,7,True,3.95,4.05,0.09999999999999964,1.2565810089483866,0.11017460502804532,0.0
219,monoprotic,1,9,True,10.7,10.6,0.09999999999999964,0.05344646403916098,0.20722282795535837,0.6743461835411801
223,diprotic,2,5,True,7.22,7.15,0.0699999999999994,0.3250192345642773,0.19881356949155782,0.34234367695880363
221,triprotic,3,5,True,2.7,2.79,0.08999999999999986,1.3414218680821637,0.20810281829499178,0.0
